Date,Open,High,Low,Close,Volume,Company
17-02-2021,135.1000061,135.8300018,135.1000061,135.7200012,22198200,APPLE
21-02-2021,136.2299957,136.75,135.9799957,136.6999969,24507200,APPLE
22-02-2021,136.4299927,137.1199951,136.1100006,137.1100006,20836900,APPLE
23-02-2021,137.3800049,137.4799957,136.3000031,136.5299988,20788200,APPLE
24-02-2021,135.9100037,136.6600037,135.2799988,136.6600037,21776600,APPLE
27-02-2021,137.1399994,137.4400024,136.2799988,136.9299927,20257400,APPLE
28-02-2021,137.0800018,137.4400024,136.6999969,136.9900055,23482900,APPLE
01-03-2021,137.8899994,140.1499939,137.6000061,139.7899933,36414600,APPLE
02-03-2021,140,140.2799988,138.7599945,138.9600067,26211000,APPLE
03-03-2021,138.7799988,139.8300018,138.5899963,139.7799988,21108100,APPLE
06-03-2021,139.3699951,139.7700043,138.6000061,139.3399963,21750000,APPLE
07-03-2021,139.0599976,139.9799957,138.7899933,139.5200043,17446300,APPLE
08-03-2021,138.9499969,139.8000031,138.8200073,139,18707200,APPLE
09-03-2021,138.7400055,138.7899933,137.0500031,138.6799927,22155900,APPLE
10-03-2021,139.25,139.3600006,138.6399994,139.1399994,19612800,APPLE
13-03-2021,138.8500061,139.4299927,138.8200073,139.1999969,17421700,APPLE
14-03-2021,139.3000031,139.6499939,138.8399963,138.9900055,15309100,APPLE
15-03-2021,139.4100037,140.75,139.0299988,140.4600067,25691800,APPLE
16-03-2021,140.7200012,141.0200043,140.2599945,140.6900024,19232000,APPLE
17-03-2021,141,141,139.8899994,139.9900055,43885000,APPLE
20-03-2021,140.3999939,141.5,140.2299957,141.4600067,21542000,APPLE
21-03-2021,142.1100006,142.8000031,139.7299957,139.8399963,39529900,APPLE
22-03-2021,139.8500061,141.6000061,139.7599945,141.4199982,25860200,APPLE
23-03-2021,141.2599945,141.5800018,140.6100006,140.9199982,20346300,APPLE
24-03-2021,141.5,141.7400055,140.3500061,140.6399994,22395600,APPLE
27-03-2021,139.3899994,141.2200012,138.6199951,140.8800049,23575100,APPLE
28-03-2021,140.9100037,144.0399933,140.6199951,143.8000031,33374800,APPLE
29-03-2021,143.6799927,144.4900055,143.1900024,144.1199951,29190000,APPLE
30-03-2021,144.1900024,144.5,143.5,143.9299927,21207300,APPLE
31-03-2021,143.7200012,144.2700043,143.0099945,143.6600037,19661700,APPLE
03-04-2021,143.7100067,144.1199951,143.0500031,143.6999969,19985700,APPLE
04-04-2021,143.25,144.8899994,143.1699982,144.7700043,19891400,APPLE
05-04-2021,144.2200012,145.4600067,143.8099976,144.0200043,27717900,APPLE
06-04-2021,144.2899933,144.5200043,143.4499969,143.6600037,21149000,APPLE
07-04-2021,143.7299957,144.1799927,143.2700043,143.3399963,16672200,APPLE
10-04-2021,143.6000061,143.8800049,142.8999939,143.1699982,18933400,APPLE
11-04-2021,142.9400024,143.3500061,140.0599976,141.6300049,30379400,APPLE
12-04-2021,141.6000061,142.1499939,141.0099945,141.8000031,20350000,APPLE
13-04-2021,141.9100037,142.3800049,141.0500031,141.0500031,17822900,APPLE
17-04-2021,141.4799957,141.8800049,140.8699951,141.8300018,16582100,APPLE
18-04-2021,141.4100037,142.0399933,141.1100006,141.1999969,14697500,APPLE
19-04-2021,141.8800049,142,140.4499969,140.6799927,17328400,APPLE
20-04-2021,141.2200012,142.9199982,141.1600037,142.4400024,23319600,APPLE
21-04-2021,142.4400024,142.6799927,141.8500061,142.2700043,17320900,APPLE
